"id_day","x","y","id_month","datetime","behavior","species","id","group","id_day_all","POSIXct","sp"
"jul002",781710.299731171,7408033.04108994,"Jul",2019-07-12 07:50:50,"Frugivory","Pereskia aculeata","AG220","Guareí",NA,NA,NA
"jul002",781705.955885698,7408089.2081145,"Jul",2019-07-12 08:30:50,"Frugivory","Pereskia aculeata","AG221","Guareí",NA,NA,NA
"jul002",781697.295873598,7408160.42393924,"Jul",2019-07-12 09:30:50,"Frugivory","Pereskia aculeata","AG223","Guareí",NA,NA,NA
"jul002",781683.679411451,7408192.15904052,"Jul",2019-07-12 10:00:50,"Frugivory","Pereskia aculeata","AG224","Guareí",NA,NA,NA
"jul002",781699.397827926,7408200.83251227,"Jul",2019-07-12 10:20:50,"Frugivory","Pereskia aculeata","AG225","Guareí",NA,NA,NA
"jul002",781771.482043037,7408060.46510753,"Jul",2019-07-12 12:20:50,"Frugivory","Pereskia aculeata","AG226","Guareí",NA,NA,NA
"jul002",781776.554129083,7408058.04553478,"Jul",2019-07-12 12:30:50,"Frugivory","Pereskia aculeata","AG227","Guareí",NA,NA,NA
"jul002",781851.846511119,7408048.17840103,"Jul",2019-07-12 15:35:50,"Frugivory","Pereskia aculeata","AG230","Guareí",NA,NA,NA
"jul002",781895.171511968,7408045.64892207,"Jul",2019-07-12 15:50:50,"Frugivory","Pereskia aculeata","AG231","Guareí",NA,NA,NA
"jul002",782034.036694192,7408027.73539504,"Jul",2019-07-12 16:25:50,"Frugivory","Pereskia aculeata","AG232","Guareí",NA,NA,NA
"jul002",781924.090884898,7407921.66764434,"Jul",2019-07-12 17:30:50,"Sleeping site",NA,"DG16","Guareí",NA,NA,NA
"jul003",781775.477770366,7407729.44032578,"Jul",2019-07-13 08:45:00,"Frugivory","Syagrus romanzoffiana","AG233","Guareí",NA,NA,NA
"jul003",781760.937547952,7407733.92700138,"Jul",2019-07-13 09:00:00,"Frugivory","Pereskia aculeata","AG234","Guareí",NA,NA,NA
"jul003",781797.247529947,7407862.13135021,"Jul",2019-07-13 10:00:00,"Frugivory","Pereskia aculeata","AG235","Guareí",NA,NA,NA
"jul003",781823.16162745,7407906.74777331,"Jul",2019-07-13 11:15:00,"Frugivory","Pereskia aculeata","AG237","Guareí",NA,NA,NA
"jul003",781831.914571963,7407904.48067713,"Jul",2019-07-13 11:35:00,"Frugivory","Pereskia aculeata","AG238","Guareí",NA,NA,NA
"jul003",781863.53556654,7407921.16412519,"Jul",2019-07-13 12:10:00,"Frugivory","Celtis iguanaea","AG77","Guareí",NA,NA,NA
"jul003",781867.59861166,7407946.57507716,"Jul",2019-07-13 12:40:00,"Frugivory","Celtis iguanaea","AG106","Guareí",NA,NA,NA
"jul003",781870.960161915,7407951.16818202,"Jul",2019-07-13 13:05:00,"Frugivory","Celtis iguanaea","AG179","Guareí",NA,NA,NA
"jul003",781859.44712688,7408055.13049891,"Jul",2019-07-13 14:20:00,"Frugivory","Pereskia aculeata","AG239","Guareí",NA,NA,NA
"jul003",781939.957132859,7408087.60925886,"Jul",2019-07-13 15:30:00,"Frugivory","Pereskia aculeata","AG242","Guareí",NA,NA,NA
"jul003",781956.506891225,7408097.15838945,"Jul",2019-07-13 15:50:00,"Frugivory","Pereskia aculeata","AG243","Guareí",NA,NA,NA
"jul003",781947.783712867,7408100.9857055,"Jul",2019-07-13 16:00:00,"Frugivory","Pereskia aculeata","AG244","Guareí",NA,NA,NA
"jul003",781868.172636334,7408083.22377762,"Jul",2019-07-13 16:25:00,"Sleeping site",NA,"DG17","Guareí",NA,NA,NA
"jul004",782134.666461775,7407605.07897942,"Jul",2019-07-16 08:05:00,"Sleeping site",NA,"DG18","Guareí",NA,NA,NA
"jul004",782041.747543625,7407698.51522936,"Jul",2019-07-16 09:00:00,"Frugivory","Pereskia aculeata","AG259","Guareí",NA,NA,NA
"jul004",781974.043476072,7407640.30004891,"Jul",2019-07-16 10:25:00,"Frugivory","Syagrus romanzoffiana","AG261","Guareí",NA,NA,NA
"jul004",781973.870430704,7407625.89448585,"Jul",2019-07-16 10:35:00,"Frugivory","Syagrus romanzoffiana","AG262","Guareí",NA,NA,NA
"jul004",781989.33879559,7407547.2365559,"Jul",2019-07-16 11:20:00,"Frugivory","Pereskia aculeata","AG263","Guareí",NA,NA,NA
"jul004",782001.233455688,7407538.02521299,"Jul",2019-07-16 11:25:00,"Frugivory","Pereskia aculeata","AG264","Guareí",NA,NA,NA
"jul004",782027.742789343,7407442.75872552,"Jul",2019-07-16 11:45:00,"Frugivory","Pereskia aculeata","AG171","Guareí",NA,NA,NA
"jul004",782055.5602832,7407410.86247925,"Jul",2019-07-16 12:40:00,"Frugivory","Pereskia aculeata","AG265","Guareí",NA,NA,NA
"jul004",782172.243582808,7407431.1174811,"Jul",2019-07-16 13:25:00,"Frugivory","Syagrus romanzoffiana","AG174","Guareí",NA,NA,NA
"jul004",781987.279444372,7407573.1023663,"Jul",2019-07-16 17:05:00,"Sleeping site",NA,"DG19","Guareí",NA,NA,NA
"jul005",781954.60417913,7407629.36637722,"Jul",2019-07-17 08:15:00,"Frugivory","Syagrus romanzoffiana","AG269","Guareí",NA,NA,NA
"jul005",781728,7407762,"Jul",2019-07-17 09:20:00,"Frugivory",NA,NA,"Guareí",NA,NA,NA
"jul005",781671.257785479,7407826.09082439,"Jul",2019-07-17 09:35:00,"Frugivory","Pereskia aculeata","AG270","Guareí",NA,NA,NA
"jul005",781613.370203109,7408120.57718503,"Jul",2019-07-17 11:20:00,"Frugivory","Pereskia aculeata","AG271","Guareí",NA,NA,NA
"jul005",781622.914083629,7408116.6229013,"Jul",2019-07-17 11:30:00,"Frugivory","Syagrus romanzoffiana","AG272","Guareí",NA,NA,NA
"jul005",781639.745164702,7408162.40737087,"Jul",2019-07-17 12:35:00,"Frugivory","Pereskia aculeata","AG273","Guareí",NA,NA,NA
"jul005",781724.877590492,7408211.98545458,"Jul",2019-07-17 13:25:00,"Frugivory","Pereskia aculeata","AG274","Guareí",NA,NA,NA
"jul005",781881.668302705,7408195.23559569,"Jul",2019-07-17 14:15:00,"Frugivory","Pereskia aculeata","AG276","Guareí",NA,NA,NA
"jul005",782069.517982655,7407968.42615263,"Jul",2019-07-17 16:05:00,"Frugivory","Pereskia aculeata","AG277","Guareí",NA,NA,NA
"jul005",782073.852350953,7407932.87366572,"Jul",2019-07-17 16:15:00,"Sleeping site",NA,"DG20","Guareí",NA,NA,NA
"jul006",781969.507727549,7407985.85616046,"Jul",2019-07-18 09:25:00,"Frugivory","Celtis iguanaea","AG278","Guareí",NA,NA,NA
"jul006",781976.594190619,7407992.37212535,"Jul",2019-07-18 09:40:00,"Frugivory","Celtis iguanaea","AG279","Guareí",NA,NA,NA
"jul006",781976.399125975,7407998.35742026,"Jul",2019-07-18 09:45:00,"Frugivory","Celtis iguanaea","AG280","Guareí",NA,NA,NA
"jul006",781980.199949681,7408004.7145806,"Jul",2019-07-18 10:05:00,"Frugivory","Celtis iguanaea","AG281","Guareí",NA,NA,NA
"jul006",781959.094794993,7407997.25008331,"Jul",2019-07-18 10:20:00,"Frugivory","Celtis iguanaea","AG107","Guareí",NA,NA,NA
"jul006",781937.266108212,7407963.19271132,"Jul",2019-07-18 11:00:00,"Frugivory","Celtis iguanaea","AG167","Guareí",NA,NA,NA
"jul006",781914.046815306,7407931.28007542,"Jul",2019-07-18 11:20:00,"Frugivory","Celtis iguanaea","AG282","Guareí",NA,NA,NA
"jul006",781867.255689029,7407917.99003149,"Jul",2019-07-18 11:50:00,"Frugivory","Celtis iguanaea","AG75","Guareí",NA,NA,NA
"jul006",781873.477782042,7407906.23048545,"Jul",2019-07-18 12:45:00,"Frugivory","Celtis iguanaea","AG283","Guareí",NA,NA,NA
"jul006",781882.970580149,7407900.06595431,"Jul",2019-07-18 12:55:00,"Frugivory","Celtis iguanaea","AG156","Guareí",NA,NA,NA
"jul006",781846.685887508,7407890.56013249,"Jul",2019-07-18 14:30:00,"Frugivory","Pereskia aculeata","AG284","Guareí",NA,NA,NA
"jul006",781867.167573686,7407897.26562816,"Jul",2019-07-18 14:45:00,"Frugivory","Celtis iguanaea","AG125","Guareí",NA,NA,NA
"jul006",781931.754948092,7407830.30188603,"Jul",2019-07-18 15:25:00,"Frugivory","Pereskia aculeata","AG285","Guareí",NA,NA,NA
"jul006",782001.304748496,7407723.45341641,"Jul",2019-07-18 16:00:00,"Frugivory","Pereskia aculeata","AG286","Guareí",NA,NA,NA
"jul006",781991.258625227,7407593.75226345,"Jul",2019-07-18 16:30:00,"Frugivory","Pereskia aculeata","AG287","Guareí",NA,NA,NA
"jul007",781955.372299985,7407530.70985449,"Jul",2019-07-19 08:35:00,"Frugivory","Pereskia aculeata","AG288","Guareí",NA,NA,NA
"jul007",781965.50246167,7407493.38346377,"Jul",2019-07-19 09:00:00,"Frugivory","Pereskia aculeata","AG289","Guareí",NA,NA,NA
"jul007",781920.246383152,7407517.74542577,"Jul",2019-07-19 09:05:00,"Frugivory","Syagrus romanzoffiana","AG100","Guareí",NA,NA,NA
"jul007",782010.125119894,7407436.22284376,"Jul",2019-07-19 09:35:00,"Frugivory","Pereskia aculeata","AG290","Guareí",NA,NA,NA
"jul007",782088.683237315,7407447.35087336,"Jul",2019-07-19 10:05:00,"Frugivory","Pereskia aculeata","AG291","Guareí",NA,NA,NA
"jul007",782206.418164373,7407447.76046946,"Jul",2019-07-19 10:55:00,"Frugivory","Pereskia aculeata","AG292","Guareí",NA,NA,NA
"jul007",782275.716921186,7407476.90323089,"Jul",2019-07-19 11:55:00,"Frugivory","Pereskia aculeata","AG293","Guareí",NA,NA,NA
"jul007",782294.678703662,7407553.68445794,"Jul",2019-07-19 12:30:00,"Frugivory","Syagrus romanzoffiana","AG294","Guareí",NA,NA,NA
"jul007",782300.205974005,7407570.09623037,"Jul",2019-07-19 12:50:00,"Frugivory","Pereskia aculeata","AG295","Guareí",NA,NA,NA
"jul007",782345.471510108,7407594.16271163,"Jul",2019-07-19 14:10:00,"Frugivory","Pereskia aculeata","AG297","Guareí",NA,NA,NA
"jul007",782334.145817539,7407595.93137208,"Jul",2019-07-19 14:35:00,"Frugivory","Pereskia aculeata","AG298","Guareí",NA,NA,NA
"jul007",782278.679033014,7407588.90338723,"Jul",2019-07-19 15:15:00,"Frugivory","Pereskia aculeata","AG299","Guareí",NA,NA,NA
"jul007",782200.762318929,7407547.61643829,"Jul",2019-07-19 15:45:00,"Frugivory","Syagrus romanzoffiana","AG300","Guareí",NA,NA,NA
"jul008",781946.988716423,7407680.2730873,"Jul",2019-07-20 08:20:00,"Frugivory","Pereskia aculeata","AG302","Guareí",NA,NA,NA
"jul008",781768.894161895,7407759.48954934,"Jul",2019-07-20 09:55:00,"Frugivory","Syagrus romanzoffiana","AG303","Guareí",NA,NA,NA
"jul008",781645.470680448,7408017.99588843,"Jul",2019-07-20 13:10:00,"Frugivory","Pereskia aculeata","AG304","Guareí",NA,NA,NA
"jul008",781679.996797583,7408137.99983171,"Jul",2019-07-20 14:30:00,"Frugivory",NA,NA,"Guareí",NA,NA,NA
"jul008",781673.491213811,7408161.98483571,"Jul",2019-07-20 14:50:00,"Frugivory","Pereskia aculeata","AG305","Guareí",NA,NA,NA
"jul008",781768.28360328,7408048.33788068,"Jul",2019-07-20 16:35:00,"Frugivory",NA,"AG228","Guareí",NA,NA,NA
"jul008",781773.133855723,7408007.89834254,"Jul",2019-07-20 16:50:00,"Sleeping site",NA,"DG21","Guareí",NA,NA,NA
"jun001",781969.802383584,7407899.62025156,"Jun",2019-06-10 07:20:00,"Sleeping site",NA,"DG03","Guareí",NA,NA,NA
"jun001",781987.22891761,7407661.3217217,"Jun",2019-06-10 08:05:00,"Frugivory","Syagrus romanzoffiana","AG169","Guareí",NA,NA,NA
"jun001",782054.236941635,7407515.40106368,"Jun",2019-06-10 09:20:00,"Frugivory",NA,NA,"Guareí",NA,NA,NA
"jun001",782041.508694082,7407440.83205447,"Jun",2019-06-10 09:40:00,"Frugivory","Syagrus romanzoffiana","AG170","Guareí",NA,NA,NA
"jun001",782027.742789343,7407442.75872552,"Jun",2019-06-10 10:15:00,"Frugivory","Pereskia aculeata","AG171","Guareí",NA,NA,NA
"jun001",782008.034143128,7407417.75586531,"Jun",2019-06-10 10:55:00,"Frugivory","Syagrus romanzoffiana","AG172","Guareí",NA,NA,NA
"jun001",782002.634818577,7407370.86088333,"Jun",2019-06-10 11:15:00,"Frugivory","Syagrus romanzoffiana","AG114","Guareí",NA,NA,NA
"jun001",782120.015506155,7407395.76650634,"Jun",2019-06-10 12:05:00,"Frugivory","Syagrus romanzoffiana","AG173","Guareí",NA,NA,NA
"jun001",782172.243582808,7407431.1174811,"Jun",2019-06-10 13:00:00,"Frugivory","Syagrus romanzoffiana","AG174","Guareí",NA,NA,NA
"jun001",782049.926532364,7407452.85933004,"Jun",2019-06-10 14:20:00,"Frugivory","Syagrus romanzoffiana","AG175","Guareí",NA,NA,NA
